train_loss,val_loss
623563.0201367465,4256.1730197315865
1376.7269059094515,612.8149844204837
250.9124002348293,153.1431503837759
133.88762184706601,144.2087530534376
91.01882544430819,76.56947843865915
61.430134041742846,58.551719036969274
38.451107260855764,29.28067935596813
21.591860672289673,15.54229460656643
11.410168415443463,8.34821106730537
6.36724524369294,4.842623877931725
4.062057116830891,3.4409463100812654
3.1017083783041346,2.845381425185637
2.7059657898816196,2.5975760316306893
2.5157921514050527,2.4826458999040453
2.4159988896413283,2.3927141431380403
2.370862652632323,2.3674976172094997
2.343158409338106,2.3395138149234382
2.327524407004768,2.328396959399635
2.3165826692499896,2.3261455802077595
2.3092427805743436,2.3151825209232895
2.2991592846810818,2.3087678783657877
2.289203137836673,2.2951424237002027
2.2719894617118617,2.281432421708649
2.245890495452014,2.2451551270417194
2.206920984793793,2.195779053832997
2.17544409903613,2.173026517202908
2.146221363747662,2.1495897136628628
2.069056710566987,2.0395013292066078
1.9651396787640723,1.9725038156929342
1.899713701822541,1.8893711592324756
1.860060874034058,1.861250044354661
1.8564622061835094,1.8412510911002755
1.8454839378934016,1.850958083163608
1.8427763193507085,1.8324823606420646
1.81905696795068,1.8891348236833105
1.7857652640139514,1.769704256714745
1.7577102477238937,1.7979401977394114
1.7535904339430006,1.7634633657607166
1.7388289838351987,1.7167839674617758
1.720771286636591,1.8561322895640677
1.713066708127206,1.7181621770459143
1.6992360321296887,1.708970696326684
1.6924099441279064,1.677390381947837
1.6732720500704916,1.6437996680086309
1.657862686636773,1.6362403378906576
1.6395169513469392,1.7040155711160465
1.6151773047379472,1.6081561695107005
1.5813889232548801,1.5928353012793444
1.5585672509941189,1.5658503925766458
1.5487082698805765,1.5667660611004315
